00DSEGEN, 2011-07-21, 6619.09541,6666.90648,6619.09541,6660.97841,242856735
00DSETO, 2011-07-21, 6619.09541,6666.90648,6619.09541,6660.97841,18990.920708
01_BANK_ALL, 2011-07-21, 58.89,59.56,57.95,58.65,101573402
02_IT, 2011-07-21, 63.67,68.15,63.55,67.88,8736746
03_FINANCE, 2011-07-21, 1295.16,1307.86,1264.25,1279.70,1264034
04_INS_GEN, 2011-07-21, 907.11,924.40,891.21,907.30,1411975
05_MNC, 2011-07-21, 626.13,633.84,615.76,622.19,257950
06_CEMENT, 2011-07-21, 195.25,195.80,190.90,192.04,4714685
07_POWER, 2011-07-21, 218.18,220.59,214.49,217.38,12965003
08_M_FUND, 2011-07-21, 70.62,71.52,70.14,71.01,38434170
09_BEXIMCO, 2011-07-21, 89.59,92.16,89.17,90.53,21197313
10_INS_LIFE, 2011-07-21, 317.07,321.65,313.38,318.48,1206250
11_TEXTILE, 2011-07-21, 724.18,741.78,717.35,732.22,2544922
12_ENGINEERING, 2011-07-21, 1341.08,1370.56,1334.33,1356.44,1234462
13_FOOD, 2011-07-21, 135.59,137.85,132.55,135.61,6706754
14_PHARMA, 2011-07-21, 2228.71,2269.43,2191.29,2227.86,239070
15_CHEMICALS, 2011-07-21, 128.14,129.83,123.83,126.38,7466441
16_SERVICES, 2011-07-21, 100.88,102.09,99.75,100.62,1778112
17_TANNERY, 2011-07-21, 1863.00,1888.33,1852.00,1867.58,38750
18_CEREMICS, 2011-07-21, 727.75,734.19,715.06,720.62,285299
19_CORPBOND, 2011-07-21, 908.33,918.33,907.25,911.75,1304
1JANATAMF, 2011-07-21, 9.80,10.30,9.80,10.10,2112500
1STBSRS, 2011-07-21, 1588.25,1620.00,1585.00,1606.00,5247
1STICB, 2011-07-21, 10300.00,10300.00,10300.00,10300.00,10
1STPRIMFMF, 2011-07-21, 24.50,25.00,24.50,24.90,554000
20_MISC, 2011-07-21, 151.23,154.13,148.62,151.04,1969349
