1JANATAMF,8.4,8.7,8.6,8.4,821000
1STBSRS,1367.75,1427,1395.5,1371.75,9500
1STICB,10490,0,10463.5,10463.5,0
1STPRIMFMF,19,19.5,19.4,19,111500
2NDICB,4025,0,4025,4025,0
3RDICB,2585,0,2585,2585,0
4THICB,2261,2261,2261,2380,140
5THICB,1700,1702,1701,1693,70
6THICB,669,674,673,671.75,1260
7THICB,1230,1239,1237.75,1224.75,250
8THICB,714,718.5,708.5,692,1350
ABBANK,845,856,851,844.25,133880
ACI,265.5,271.5,269.6,266.7,19200
ACIFORMULA,133.1,134.4,133.2,133.4,62300
ACIZCBOND,792.5,804,804,797.5,996
ACTIVEFINE,65.6,65.5,65.8,65.4,253500
AFTABAUTO,274,276.2,275.2,272.8,1100100
AGNISYSL,43,43.6,43.5,43.2,380000
AGRANINS,527.25,520,525.5,531.25,9300
AIBL1STIMF,8.2,8,8.1,8.1,62500
AIMS1STMF,7.2,7.17,7.17,7.15,4455000
ALARABANK,34.5,59.4,58.9,56.9,12400
AL-HAJTEX,58,34.2,34.2,34.3,1037250
ALLTEX,210,215,213,215.25,22500
AMBEEPHA,403,396.2,397.4,401.8,7300
AMCL(PRAN),1525,1524,1526.75,1528.75,1060
ANLIMAYARN,405,401.25,402.25,406.25,16200
ANWARGALV,318,316.5,316.75,323.75,350
APEXADELFT,3020,3050,3033,3022,2580
APEXFOODS,960,964,956.25,958.5,1435
APEXSPINN,1399,0,1423.5,1423.5,0
APEXTANRY,1365,1400,1395.5,1362.25,13860
APEXWEAV,165,379.4,379,368.2,22200
ARAMIT,370,1200,1194.25,1201,5550
ARAMITCEM,1197,73,72.6,72.9,457500
ASIAINS,71.5,527,528.75,529,47750
ASIAPACINS,526.75,364,363.1,353.5,85300
ATLASBANG,351,367.5,362,368.25,1485
AZIZPIPES,370,1623,1623,1628.5,295
BANGAS,1644,480,478.25,476.75,44900
BANKASIA,472,633.9,632.2,625.1,5700
BATASHOE,630,633.1,630.9,606.2,56100
BATBC,605.5,1120,1122,1123.25,36050
BAYLEASING,1111,460.5,460.25,458.5,1200
BDAUTOCA,468.75,36.5,36.3,36.3,71500
BDCOM,36.8,92.3,91.6,91.9,88400
BDFINANCE,90.3,1714,1702.5,1703.25,750
BDLAMPS,1707.75,0,11.7,11.7,0
BDTHAI,650.25,667,664.75,655.25,85360
BDWELDING,56.8,57.2,57,56.7,763000
BEACHHATCH,49,52,51.4,49.4,752500
BEACONPHAR,32,32.2,32.1,32,565500
BEDL,68.2,69.3,68.7,69.6,242200
BERGERPBL,724,728,731.2,713.3,4350
BEXIMCO,158.8,161.1,159.9,157.4,1735000
BEXTEX,33.4,33.7,33.4,33.5,3586400
BGIC,50.1,51.9,51.3,51.1,430400
BIFC,578,574,567.5,574.25,18300
BOC,660.5,671.5,678.7,665.2,16850
BRACBANK,475,483,480.5,472.75,210300
BRACSCBOND,1000,1001,1000,997.5,35
BSC,2210.5,2220,2203.25,2210.5,60
BSRMSTEEL,1381.75,1419,1413.5,1384.25,118150
BXPHARMA,79.1,80.9,80.4,79.4,344050
BXSYNTH,427,434,432,424.75,58460
CENTRALINS,709.5,710,713,717,4280
CITYBANK,574.75,573,569.75,567,194925
CITYGENINS,51,51.1,50.9,51.5,219200
CMCKAMAL,56,55.8,55.6,55.8,698100
CONFIDCEM,180,183,181.4,181.5,315220
CONTININS,526.5,544,538.5,535,32350
CTGVEG,2880.25,2949,2947,2893.25,2120
DACCADYE,56.1,58,57.6,57.1,388000
DAFODILCOM,25,25.5,25.4,25.2,208000
DBH,2397,2378,2371.25,2357.25,16100
DBH1STMF,11.5,11.9,11.8,11.6,1042000
DELTALIFE,39799,0,39773.5,39773.5,0
DELTASPINN,464.25,465,462.75,472.5,45660
DESCO,1660,1719,1706.5,1657,57200
DESHBANDHU,67.9,67,66.6,66.2,326500
DHAKABANK,45,44.5,44.7,44.6,657000
DHAKAINS,1180,1181,1187.75,1190.5,6250
DSHGARME,470,470,467,477.25,1070
DULAMIACOT,337,328,332,339,1400
DUTCHBANGL,1420,1439,1431.25,1412.5,20650
EASTERNINS,876,876,869.75,867,7660
EASTLAND,930.5,925,924,932.25,22980
EASTRNLUB,550,557.7,556.3,546.7,450
EBL,67.5,67.8,67.9,66.7,963400
EBL1STMF,13,13.6,13.5,13.1,888500
EBLNRBMF,10.5,10.5,10.5,9.9,1000
