1JANATAMF,8.8,8.8,8.5,0,8.6,61000
1STBSRS,1465,1475,1435,0,1395.5,3300
1STICB,0,0,0,0,10463.5,0
1STPRIMFMF,20.3,20.3,19.8,0,19.4,54500
2NDICB,0,0,0,0,4025,0
3RDICB,0,0,0,0,2585,0
4THICB,0,0,0,0,2261,0
5THICB,0,0,0,0,1701,0
6THICB,680,680,680,0,673,10
7THICB,0,0,0,0,1237.75,0
8THICB,0,0,0,0,708.5,0
ABBANK,851,859,845,0,851,11505
ACI,270,270,268.6,0,269.6,150
ACIFORMULA,144,145,134.5,0,133.2,40500
ACIZCBOND,0,0,0,0,804,0
ACTIVEFINE,67,67,64.7,0,65.8,69500
AFTABAUTO,276,282.2,275,0,275.2,333650
AGNISYSL,43.8,43.9,43.2,0,43.5,57000
AGRANINS,530,530,529,0,525.5,550
AIBL1STIMF,0,0,0,0,8.1,0
AIMS1STMF,7.41,7.45,7.19,0,7.17,2652500
AL-HAJTEX,58.1,58.1,58.1,0,58.9,500
ALARABANK,34.9,35.4,34.3,0,34.2,406250
ALLTEX,216,217.5,213,0,213,1400
AMBEEPHA,0,0,0,0,397.4,0
AMCL(PRAN),1526,1527,1526,0,1526.75,20
ANLIMAYARN,406,407.5,401,0,402.25,1600
ANWARGALV,0,0,0,0,316.75,0
APEXADELFT,3148,3148,3148,0,3033,40
APEXFOODS,968,968,967.75,0,956.25,90
APEXSPINN,0,0,0,0,1423.5,0
APEXTANRY,1420,1430,1380,0,1395.5,3450
ARAMIT,380.2,380.2,380,0,379,250
ARAMITCEM,1234,1234,1234,0,1194.25,100
ASIAINS,73,73.3,72.1,0,72.6,29750
ASIAPACINS,535,535,528.25,0,528.75,4550
ATLASBANG,365.4,368.5,364,0,363.1,3700
AZIZPIPES,0,0,0,0,362,0
BANGAS,0,0,0,0,1623,0
BANKASIA,480,490,480,0,478.25,4850
BATASHOE,633,633,633,0,632.2,300
BATBC,0,0,0,0,630.9,0
BAYLEASING,1133.75,1139,1126,0,1122,4000
BDAUTOCA,445,477,445,0,460.25,20
BDCOM,36.9,37,36.5,0,36.3,16500
BDFINANCE,92.9,93.4,92,0,91.6,11600
BDLAMPS,0,0,0,0,1702.5,0
BDSERVICE,0,0,0,0,11.7,0
BDTHAI,685,690,662,0,664.75,33020
BDWELDING,57.6,57.8,56.5,0,57,98000
BEACHHATCH,51.8,51.9,51.3,0,51.4,61000
BEACONPHAR,32.4,33,32.4,0,32.1,51500
BEDL,71.4,71.4,68.5,0,68.7,114800
BERGERPBL,735,735,735,0,731.2,50
BEXIMCO,162,163.2,161,0,159.9,253000
BEXTEX,34.2,34.3,33.3,0,33.4,888000
BGIC,50.8,52.8,50.1,0,51.3,60200
BIFC,580,580,572,0,567.5,4650
BOC,0,0,0,0,678.7,0
