1JANATAMF,8.50,8.80,8.50,8.80,58000
1STBSRS,1436.00,1475.00,1435.00,1475.00,3200
1STICB,10490.00,10490.00,10450.25,10450.25,15
1STPRIMFMF,19.80,20.30,19.80,20.30,50000
2NDICB,4025.00,4025.00,4025.00,4025.00,700
3RDICB,2585.00,2585.00,2585.00,2585.00,10
4THICB,2261.00,2261.00,2261.00,2261.00,140
5THICB,1700.00,1702.00,1700.00,1702.00,70
6THICB,680.00,680.00,680.00,680.00,10
7THICB,1230.00,1240.00,1230.00,1239.00,250
8THICB,714.00,718.50,704.50,718.50,1350
ABBANK,859.00,859.00,845.00,849.00,10085
ACI,269.60,270.00,268.60,270.00,150
ACIFORMULA,134.50,138.00,134.50,137.50,21700
ACIZCBOND,792.50,805.00,792.50,804.00,996
ACTIVEFINE,66.10,66.30,64.70,66.30,39500
AFTABAUTO,278.00,282.20,275.00,276.80,309450
AGNISYSL,43.20,43.90,43.20,43.80,48000
AGRANINS,529.00,529.00,529.00,529.00,450
AIBL1STIMF,8.20,8.20,8.00,8.00,62500
AIMS1STMF,7.25,7.39,7.19,7.38,2190000
ALARABANK,35.00,35.40,34.30,34.80,327000
AL-HAJTEX,58.10,58.10,58.10,58.10,500
ALLTEX,214.00,217.50,213.00,217.50,1350
AMBEEPHA,403.00,406.00,395.10,396.20,7300
AMCL(PRAN),1525.00,1545.00,1521.50,1524.00,1060
ANLIMAYARN,401.00,407.50,401.00,406.00,1600
ANWARGALV,318.00,318.00,316.25,316.50,350
APEXADELFT,3148.00,3148.00,3148.00,3148.00,40
APEXFOODS,967.75,968.00,967.75,968.00,55
APEXSPINN,1399.00,1450.00,1395.00,1450.00,80
APEXTANRY,1408.00,1430.00,1380.00,1425.00,3440
APEXWEAV,165.00,174.00,150.00,156.00,112050
ARAMIT,380.00,380.20,380.00,380.20,250
ARAMITCEM,1234.00,1234.00,1234.00,1234.00,100
ASIAINS,72.10,73.30,72.10,73.10,24500
ASIAPACINS,530.00,535.00,528.25,534.00,2600
ATLASBANG,368.50,368.50,364.00,365.00,3650
AZIZPIPES,370.00,371.00,360.00,367.50,1485
BANGAS,1644.00,1644.00,1616.00,1623.00,295
BANKASIA,485.00,490.00,480.50,481.75,4500
BATASHOE,633.00,633.00,633.00,633.00,300
BATBC,605.50,633.90,605.50,633.10,56100
BAYLEASING,1139.00,1139.00,1126.00,1133.75,3500
BDAUTOCA,477.00,477.00,445.00,445.00,20
BDCOM,37.00,37.00,36.50,36.90,16500
BDFINANCE,93.40,93.40,92.00,92.70,7400
BDLAMPS,1707.75,1718.00,1701.00,1714.00,750
BDTHAI,669.00,689.00,662.00,689.00,28250
BDWELDING,57.30,57.80,56.50,57.40,68000
BEACHHATCH,51.90,51.90,51.30,51.60,55500
BEACONPHAR,32.50,33.00,32.40,32.50,47000
BEDL,69.00,70.90,68.50,70.90,83600
BERGERPBL,724.00,734.00,718.20,728.00,4350
BEXIMCO,161.50,163.20,161.00,162.00,233000
BEXTEX,34.00,34.30,33.30,34.10,812000
BGIC,52.80,52.80,50.10,50.70,48500
BIFC,578.00,579.00,572.00,576.75,2750
BOC,660.50,690.00,660.50,671.50,16850
BRACBANK,489.00,489.00,475.50,479.75,8100
BRACSCBOND,1000.00,1001.00,1000.00,1001.00,35
BSC,2210.50,2220.00,2171.00,2220.00,60
BSRMSTEEL,1425.00,1428.00,1414.00,1420.00,9100
BXPHARMA,80.50,81.00,80.00,80.40,17850
BXSYNTH,437.50,444.00,433.00,444.00,21360
CENTRALINS,709.50,720.00,705.25,710.00,4280
CITYBANK,577.00,579.00,568.00,569.75,27105
CITYGENINS,51.20,51.60,50.40,51.30,8900
CMCKAMAL,56.50,56.50,55.00,55.80,62800
CONFIDCEM,183.00,186.00,183.00,185.70,110780
CONTININS,541.00,543.75,541.00,541.00,1800
CTGVEG,2880.25,2955.00,2850.00,2949.00,2120
DACCADYE,58.70,58.70,56.60,58.20,51500
DAFODILCOM,25.30,25.50,25.30,25.30,17500
DBH,2390.00,2390.00,2388.00,2390.00,1200
DBH1STMF,11.90,12.10,11.80,12.00,246500
DELTALIFE,39799.00,39799.00,39507.00,39799.00,865
DELTASPINN,464.00,465.50,463.50,465.50,2180
DESCO,1740.00,1740.00,1721.00,1721.50,1500
DESHBANDHU,67.00,67.50,66.90,67.50,40500
DHAKABANK,45.50,45.60,44.50,44.90,25100
DHAKAFISH,301.50,350.00,300.00,300.00,1650
DHAKAINS,1213.00,1213.00,1213.00,1213.00,50
DSHGARME,470.00,470.00,460.00,470.00,1070
DULAMIACOT,337.00,339.00,327.50,328.00,1400
DUTCHBANGL,1475.00,1475.00,1443.00,1453.00,2800
EASTERNINS,880.00,880.00,880.00,880.00,20
EASTLAND,920.00,939.00,920.00,932.00,100
EASTRNLUB,550.00,557.90,550.00,557.70,450
EBL,68.50,68.50,67.00,67.80,47800
EBL1STMF,13.60,13.80,13.50,13.80,134500
EBLNRBMF,10.50,10.50,10.50,10.50,1000
ECABLES,639.00,657.00,639.00,646.50,760
EHL,900.00,900.00,890.00,898.00,4520
EXIMBANK,32.50,32.90,31.70,32.30,660100
FAREASTLIF,334.00,334.00,331.00,331.60,19350
FASFIN,510.00,511.00,502.25,506.25,8050
FEDERALINS,145.90,145.90,142.00,142.10,8200
FINEFOODS,64.50,64.50,64.50,64.50,500
FIRSTSBANK,25.50,27.30,25.50,27.30,1079400
FLEASEINT,1090.00,1090.00,1077.00,1086.00,9000
FUWANGCER,397.75,400.00,395.25,400.00,19050
FUWANGFOOD,54.30,54.30,53.50,54.00,136900
GEMINISEA,3010.00,3048.00,2920.00,2920.00,170
GLAXOSMITH,989.00,991.00,989.00,990.00,250
GLOBALINS,718.00,718.00,708.00,717.00,1800
GOLDENSON,70.70,70.70,69.60,70.40,148500
GP,166.00,168.70,165.00,166.90,203600
GQBALLPEN,228.00,228.00,224.30,225.00,5350
GRAMEEN1,85.90,87.90,85.90,87.30,29000
GRAMEENS2,20.90,21.60,20.80,21.50,328000
GREENDELMF,8.00,8.30,8.00,8.30,28500
GREENDELT,185.00,185.10,182.10,184.90,52400
HAKKANIPUL,48.70,48.90,46.20,46.20,12000
HEIDELBCEM,3000.00,3030.00,3000.00,3030.00,1050
HRTEX,495.00,495.00,495.00,495.00,150
IBBLPBOND,959.00,970.00,938.00,969.00,2250
IBNSINA,1364.75,1364.75,1364.75,1364.75,200
ICB,3600.00,3790.00,3600.00,3790.00,5850
ICB1STNRB,400.00,416.50,400.00,416.50,3600
ICB2NDNRB,193.75,195.00,192.00,195.00,5850
ICB3RDNRB,9.80,9.90,9.70,9.90,23000
ICBAMCL1ST,656.75,656.75,635.00,645.00,3150
ICBAMCL2ND,134.00,135.00,133.00,134.50,48150
ICBEPMF1S1,12.90,13.10,12.90,13.10,74500
ICBIBANK,11.50,11.50,11.20,11.20,84000
ICBISLAMIC,345.00,352.00,345.00,352.00,1800
IDLC,2078.00,2078.00,2051.00,2068.00,440
IFIC,809.00,839.00,809.00,817.00,34335
IFIC1STMF,11.50,11.80,11.50,11.70,316500
IFILISLMF1,7.80,7.90,7.80,7.90,23000
ILFSL,1243.00,1274.00,1242.00,1274.00,6350
IMAMBUTTON,374.00,379.00,369.00,374.00,2600
INTECH,26.30,26.50,26.30,26.50,2000
IPDC,390.00,390.00,390.00,390.00,50
ISLAMIBANK,518.00,523.00,513.00,515.25,41920
ISLAMICFIN,460.75,462.00,458.50,460.50,2350
ISLAMIINS,549.25,549.25,530.00,538.00,12250
ISNLTD,32.80,32.80,32.10,32.10,1000
JAMUNABANK,35.00,35.50,34.70,34.90,278000
JAMUNAOIL,258.20,262.00,258.20,260.60,20700
JANATAINS,647.00,647.00,625.00,639.00,2980
JUTESPINN,1495.00,1499.00,1490.00,1490.00,390
KARNAPHULI,62.50,63.30,62.50,63.30,27100
KAY&QUE,374.75,374.75,374.75,374.75,50
KEYACOSMET,87.40,89.00,87.10,89.00,253000
KOHINOOR,2160.00,2160.00,2160.00,2160.00,50
KPCL,71.10,72.00,69.10,70.50,110200
LAFSURCEML,475.00,492.00,470.00,488.00,66550
LANKABAFIN,214.00,215.00,210.60,211.70,69000
LEGACYFOOT,40.10,40.50,39.10,40.20,40000
LIBRAINFU,4090.00,4100.00,4090.00,4100.00,40
MAKSONSPIN,44.50,44.90,44.20,44.70,242000
MALEKSPIN,57.80,59.00,57.20,58.70,595500
MARICO,505.00,526.00,491.70,524.00,37700
MBL1STMF,7.90,9.20,7.90,9.20,3500
MEGCONMILK,40.90,40.90,40.90,40.90,500
MEGHNACEM,230.00,234.50,229.20,234.40,46800
MEGHNALIFE,363.80,363.80,357.60,358.60,23900
MEGHNAPET,18.10,18.90,18.10,18.90,16500
MERCANBANK,325.00,325.00,318.75,320.75,47400
MERCINS,539.00,539.00,532.00,533.00,850
METROSPIN,59.60,61.30,59.50,61.30,101000
MICEMENT,178.00,180.00,177.60,179.50,223500
MIDASFIN,1105.00,1118.00,1100.00,1100.00,1500
MIRACLEIND,29.70,30.60,29.70,30.60,17000
MITHUNKNIT,1470.00,1470.00,1470.00,1470.00,100
MJLBD,161.00,166.90,160.00,166.90,273600
MODERNDYE,466.00,466.00,466.00,466.00,25
MONNOCERA,723.25,733.75,720.00,729.50,3080
MONNOFABR,80.00,80.00,76.00,78.00,57850
MONNOJTX,2245.00,2250.00,2226.00,2226.00,70
MONNOSTAF,2531.00,2531.00,2430.00,2430.00,40
MPETROLEUM,193.30,193.30,188.30,191.00,1200
MTBL,379.50,380.00,369.00,369.00,18100
NATLIFEINS,7310.00,7334.00,7250.00,7319.00,65
NAVANACNG,169.80,170.00,168.00,168.90,64900
NBL,65.90,67.30,65.70,66.30,791100
NCCBANK,34.50,34.90,33.80,34.30,186000
NHFIL,1071.50,1071.50,1070.00,1070.00,500
NITOLINS,653.00,668.00,652.00,663.50,3300
NORTHERN,41.10,41.10,38.00,38.00,1000
NORTHRNINS,670.00,670.00,665.50,669.00,1150
NPOLYMAR,740.25,745.00,735.25,740.00,3230
NTC,4990.00,4990.00,4882.00,4988.00,730
NTLTUBES,944.75,944.75,933.00,939.00,1380
OCL,83.30,83.30,80.90,81.00,1600
OLYMPIC,1941.00,1942.00,1921.00,1939.75,3100
ONEBANKLTD,509.75,516.50,506.00,507.75,83450
ORIONINFU,668.00,672.00,656.00,672.00,6860
PADMACEM,26.90,27.90,25.60,27.90,1169500
PADMAOIL,729.00,744.90,725.00,730.00,280900
PARAMOUNT,524.00,535.00,524.00,534.75,7700
PEOPLESINS,48.50,49.00,47.50,48.20,87500
PF1STMF,12.30,12.40,12.30,12.30,21000
