&nbsp;&nbsp;&nbsp;&nbsp; Trading Code &nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; LTP* &nbsp;&nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; High &nbsp;&nbsp;&nbsp;,&nbsp;&nbsp;&nbsp; Low &nbsp;&nbsp;&nbsp;&nbsp;,&nbsp;&nbsp; Volume &nbsp;&nbsp;
1JANATAMF,0,0,0,0
1STBSRS,0,0,0,0
1STICB,0,0,0,0
1STPRIMFMF,0,0,0,0
2NDICB,0,0,0,0
3RDICB,0,0,0,0
4THICB,0,0,0,0
5THICB,0,0,0,0
6THICB,0,0,0,0
7THICB,0,0,0,0
8THICB,0,0,0,0
ABB1STMF,0,0,0,0
ABBANK,0,0,0,0
ACI,0,0,0,0
ACIFORMULA,0,0,0,0
ACIZCBOND,0,0,0,0
ACTIVEFINE,0,0,0,0
AFTABAUTO,0,0,0,0
AGNISYSL,0,0,0,0
AGRANINS,0,0,0,0
AIBL1STIMF,0,0,0,0
AIMS1STMF,0,0,0,0
AL-HAJTEX,0,0,0,0
ALARABANK,0,0,0,0
ALLTEX,0,0,0,0
AMBEEPHA,0,0,0,0
AMCL(PRAN),0,0,0,0
ANLIMAYARN,0,0,0,0
ANWARGALV,0,0,0,0
APEXADELFT,0,0,0,0
APEXFOODS,0,0,0,0
APEXSPINN,0,0,0,0
APEXTANRY,0,0,0,0
ARAMIT,0,0,0,0
ARAMITCEM,0,0,0,0
ASIAINS,0,0,0,0
ASIAPACINS,0,0,0,0
ATLASBANG,0,0,0,0
AZIZPIPES,0,0,0,0
BANGAS,0,0,0,0
BANKASIA,0,0,0,0
BATASHOE,0,0,0,0
BATBC,0,0,0,0
BAYLEASING,0,0,0,0
BDAUTOCA,0,0,0,0
BDCOM,0,0,0,0
BDFINANCE,0,0,0,0
BDLAMPS,0,0,0,0
BDSERVICE,0,0,0,0
BDTHAI,0,0,0,0
BDWELDING,0,0,0,0
BEACHHATCH,0,0,0,0
BEACONPHAR,0,0,0,0
BEDL,0,0,0,0
BERGERPBL,0,0,0,0
BEXIMCO,0,0,0,0
BGIC,0,0,0,0
BIFC,0,0,0,0
BRACBANK,0,0,0,0
BRACSCBOND,0,0,0,0
BSC,0,0,0,0
BSRMSTEEL,0,0,0,0
BXPHARMA,0,0,0,0
BXSYNTH,0,0,0,0
CENTRALINS,0,0,0,0
CITYBANK,0,0,0,0
CITYGENINS,0,0,0,0
CMCKAMAL,0,0,0,0
CONFIDCEM,0,0,0,0
CONTININS,0,0,0,0
CVOPRL,0,0,0,0
DACCADYE,0,0,0,0
DAFODILCOM,0,0,0,0
DBH,0,0,0,0
DBH1STMF,0,0,0,0
DELTALIFE,0,0,0,0
DELTASPINN,0,0,0,0
DESCO,0,0,0,0
DESHBANDHU,0,0,0,0
DHAKABANK,0,0,0,0
DHAKAINS,0,0,0,0
DSHGARME,0,0,0,0
DULAMIACOT,0,0,0,0
DUTCHBANGL,0,0,0,0
EASTERNINS,0,0,0,0
EASTLAND,0,0,0,0
EASTRNLUB,0,0,0,0
EBL,0,0,0,0
EBL1STMF,0,0,0,0
EBLNRBMF,0,0,0,0
ECABLES,0,0,0,0
EHL,0,0,0,0
EXIMBANK,0,0,0,0
FAREASTLIF,0,0,0,0
FASFIN,0,0,0,0
FBFIF,0,0,0,0
FEDERALINS,0,0,0,0
FINEFOODS,0,0,0,0
FIRSTSBANK,0,0,0,0
FLEASEINT,0,0,0,0
FUWANGCER,0,0,0,0
FUWANGFOOD,0,0,0,0
GEMINISEA,0,0,0,0
GLAXOSMITH,0,0,0,0
GLOBALINS,0,0,0,0
GOLDENSON,0,0,0,0
GP,0,0,0,0
GQBALLPEN,0,0,0,0
GRAMEEN1,0,0,0,0
GRAMEENS2,0,0,0,0
GREENDELMF,0,0,0,0
GREENDELT,0,0,0,0
HAKKANIPUL,0,0,0,0
HEIDELBCEM,0,0,0,0
HRTEX,0,0,0,0
IBBLPBOND,0,0,0,0
IBNSINA,0,0,0,0
ICB,0,0,0,0
ICB1STNRB,0,0,0,0
ICB2NDNRB,0,0,0,0
ICB3RDNRB,0,0,0,0
ICBAMCL1ST,0,0,0,0
ICBAMCL2ND,0,0,0,0
ICBEPMF1S1,0,0,0,0
ICBIBANK,0,0,0,0
ICBISLAMIC,0,0,0,0
IDLC,0,0,0,0
IFIC,0,0,0,0
IFIC1STMF,0,0,0,0
IFILISLMF1,0,0,0,0
ILFSL,0,0,0,0
IMAMBUTTON,0,0,0,0
INTECH,0,0,0,0
IPDC,0,0,0,0
ISLAMIBANK,0,0,0,0
ISLAMICFIN,0,0,0,0
ISLAMIINS,0,0,0,0
ISNLTD,0,0,0,0
JAMUNABANK,0,0,0,0
JAMUNAOIL,0,0,0,0
